l	444-4
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.01675967696481838
9	-0.016641111605624065
10	0.010708218609450895
11	-0.005968224159690351
12	0.0033249722587050065
13	-0.0019016732458912327
14	0.00112243957395962
15	-0.000683354952543522
16	0.0004281999174309159
17	-0.00027546503251586133
18	0.00018148399848695064
19	-0.00012217591616033634
20	8.387573904306673e-05
