l	4-444
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.016759676964818337
9	0.016641111605624117
10	0.010708218609450962
11	0.00596822415969036
12	0.0033249722587049926
13	0.0019016732458912353
14	0.0011224395739595986
15	0.0006833549525435135
16	0.0004281999174309571
17	0.0002754650325158782
18	0.00018148399848693617
19	0.00012217591616033347
20	8.387573904306708e-05
