l	2-222	2-232	2-133	2-242	2-143	2044	3-321	3-222	3-331	3-232	3-133	3-341	3-242	3-143	3044	4-420	4-321	4-222	4-430	4-331	4-232	4-133	4-440	4-341	4-242	4-143	4044
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.014893651844918676	0.05034701033838418	0.030835011535875093	0.08173383445518743	0.07282317377787409	0.037845416717795066	0.055496796468643285	0.020142615722613968	0.10539121693132701	0.05416306021442638	0.013115267166604614	0.10457147793129817	0.05603620330884508	0.009090401069739993	-0.009265977944244727	0.11183077151609966	0.03010770926898297	0.0018205178006011253	0.11604043781060659	0.02180688759165249	-0.013041410120096655	-0.011521366466065434	0.04690421433393028	-0.03411159371242291	-0.05335956694528528	-0.037188661410124696	-0.01473634681958938
5	0.02155458427509094	0.060441798665338664	0.054768011823906795	0.06899268037976944	0.10538858909188756	0.07759342889250315	0.07017422871122657	0.04157311354504726	0.10034723040913632	0.10042912364037324	0.04270244519045482	0.046065568373859854	0.08429166275231396	0.04917936580026378	0.0020772016140853024	0.1238120795544625	0.07870423869062405	0.01907083198469354	0.07196228433476497	0.07768396608270864	0.01681123480104417	-0.012412059364403746	-0.03844505079397427	-0.007572997564454986	-0.041387170404602415	-0.05815052831697385	-0.03848652749457715
6	0.018521626034356985	0.03912860701270279	0.05751957976296277	0.01823303844938443	0.08010395016014739	0.0947330265755811	0.04984196456339631	0.0485317268528899	0.040892978452610654	0.09590896245334901	0.0696199840768763	-0.025555181712411865	0.04102574760021859	0.07451045597002799	0.033720845847975765	0.07170018097688179	0.09340196976675955	0.04311135509465693	-0.005194931652899181	0.07032098720976354	0.06280360601771245	0.01042886792579079	-0.06477926504187524	-0.032395871866326864	-0.0046264742348971835	-0.03089218535780983	-0.04602100419540203
7	0.01316425781222771	0.020940728929922756	0.04649137294023685	1.8078346784618447e-08	0.04164107657597543	0.08657447403766898	0.029815914876146866	0.04136391067202248	0.012594764809665428	0.06116793177253604	0.07498861565300682	-0.019565992992824004	-0.00825303521596619	0.05593124237532038	0.059889532440223825	0.036548099845399015	0.07052381718246345	0.05403467794861754	-0.014056430246616474	0.020922480015880315	0.0697039891829723	0.04089035500351947	-0.016537100715755815	-0.05912899072291394	-0.016784067066392416	0.00544981269062788	-0.024267016644786008
8	0.009216822657687588	0.012463416154828329	0.03434514650135856	2.2217642902322707e-06	0.01982679093015168	0.06869132731753963	0.019080633312787774	0.03115855039681969	0.007141242051644521	0.035020935137884866	0.06425582057916869	-0.004824298301369585	-0.016717010515458142	0.02471978718091644	0.06563531209308672	0.022897787751827263	0.046265703325561514	0.049464897695567375	-0.005045250508817893	3.965633175353368e-07	0.04597423971206704	0.055522149603060615	-0.0006770766431317114	-0.03381565038912911	-0.04097208308650093	0.007959668038767886	0.0059550028972432415
9	0.006555993646464523	0.007985310017704472	0.0251484796317436	8.048556692964069e-09	0.01037105906949843	0.05209327886225578	0.01285366991887307	0.023043315158278167	0.0044061379568513	0.021789034249778096	0.05040910353799337	-0.003094676350928238	-0.010709956414975456	0.007111311881540396	0.05808872230133324	0.015208849723644164	0.031666294161581524	0.0398397448912469	-0.0035920434046184243	-0.0011612325654793193	0.02601482865647704	0.05346146328420095	-0.003736833015727353	-0.01287661644773144	-0.036899031199761664	-0.006768492504554523	0.023377123649635304
10	0.0047677232930934885	0.0054031412118473055	0.01861864516152388	-4.37826646383117e-09	0.0058280335803121384	0.03936833904609917	0.009017704623196393	0.017161843896699495	0.0028956926130492174	0.014411531274152692	0.03881912269825964	-0.002092641073788105	-0.007249069407264158	0.0003634463795207766	0.04747980678729066	0.01056551743111673	0.022457350393143023	0.03111059866659995	-0.0026114003329702905	-0.001381067755237913	0.015849674377962347	0.04529297254578515	-0.0024854174395266978	-0.008591405194686841	-0.02463634758871851	-0.014980434685311395	0.02750952908680939
11	0.0035450984081858536	0.0038132893480764827	0.014010914496986658	1.9987087752217717e-09	0.0034668052820896558	0.030023386896088113	0.0065384281571484095	0.012965178669337087	0.0019971091052827746	0.009990733321823573	0.029956592816305912	-0.00147687461012793	-0.005116066641842935	-0.002161922553425012	0.03795199253720523	0.00760592787657338	0.0164095312815539	0.024213625169152025	-0.0019417255548226878	-0.001297161967291967	0.010232132149902928	0.03692199192264944	-0.0017333903617666158	-0.005993117516542905	-0.017209837281252673	-0.016225213222837393	0.025769880554609693
