l	223-3	214-4	224-3	332-2	323-3	333-2	314-4	324-3	334-2	432-2	442-1	423-3	433-2	443-1	414-4	424-3	434-2	444-1
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.016040525134107943	-0.02947084267840823	-0.04167094812671287	0.016040525134107943	-0.023727903136809777	-0.05218971802814805	0.014142561306208844	0.04868066657017225	0.07848161832021944	-0.013895060898008208	-0.04911136089129811	0.003178734256183523	0.0322482300810328	0.08763065135753643	0.012136044023635228	0.011317130141938034	-0.018976498616791803	-0.07519661536194044
6	-0.020442500482708754	0.04622660803559162	0.04084805238296981	-0.020442500482708754	0.04280082650986714	0.05395074454753876	-0.03964881264470451	-0.07412175591124559	-0.05201849622318307	0.029966846556635902	0.053920782462878895	-0.022518585956750648	-0.06768434773075364	-0.0684377772256911	-0.010489061642530634	0.014925638716400071	0.045988661318501364	0.014125768299420177
7	0.016032582624740943	-0.04418513051898001	-0.020820532212625028	0.016032582624740943	-0.04506032970558841	-0.030819700644094856	0.05780638351308562	0.05679727396786398	0.0063419095810571475	-0.03471796315256958	-0.03435816286027348	0.044019072590888206	0.06501910498994687	0.0210372373832977	-0.011080301433481368	-0.041829206856773694	-0.0199684345079051	0.02926405287772028
8	-0.010584033971272937	0.03305651100951979	0.00824728756744075	-0.010584033971272937	0.03538023761513355	0.014712553905736338	-0.05700045360326324	-0.026561473438939387	0.004850993136686563	0.028416881607118694	0.018794454290283744	-0.04983055813411937	-0.0384939661920859	-0.003636723729144769	0.03431421894654539	0.03450427174672505	-0.01403087408918463	-0.015834170665135653
9	0.006918153012408912	-0.022789375722458264	-0.0037187333113671236	0.006918153012408912	-0.02483927390584017	-0.007903402232641491	0.045369766581216046	0.009774828131693258	-0.002664788539437936	-0.020246451712688716	-0.01110251396334209	0.04214331614394913	0.01955275820117548	0.001641533952013097	-0.04223374259410452	-0.012737878812768739	0.016811355063214045	0.0039708585341472905
10	-0.0046108756051827515	0.015638250113229033	0.0018429870447581784	-0.0046108756051827515	0.017206315814152377	0.004616330546014734	-0.03331988800748015	-0.003634414424277377	0.0015861831402312835	0.014129554586354662	0.006950334887059631	-0.03172378688922777	-0.010903245807930062	-0.0008126858258176114	0.0377779495773487	0.0005459888252756876	-0.009887023104179441	-0.0023369848426248708
11	0.0031521596250048646	-0.010886868107435155	-0.0009827453429251515	0.0031521596250048646	-0.012046885166972894	-0.0028718570975024282	0.024123167527021587	0.001227402888726816	-0.0010008828633333747	-0.00993665590522622	-0.004555497230694216	0.02327395968052252	0.006524607814457959	0.0004333469176584545	-0.030027440288226584	0.003091132041972988	0.0061871404889280905	0.0014601174131974597
12	-0.0022100216535949155	0.007727227514166043	0.0005556594194851835	-0.0022100216535949164	0.008582883626121052	0.001876847913915163	-0.017559934403544527	-0.0002556811881937225	0.0006615557216847846	0.0071000801602223735	0.0030996232294528895	-0.017080947055929902	-0.004127412711831032	-0.00024502464858081074	0.023074418042243857	-0.003835148613257089	-0.004061566465097465	-0.0009580929537549641
